theta_heading,P_center^x,P_center^y,v_angle,d_bow,v_bow,v_ybow,d_amidship,v_amidship,v_yamidship,d_stern,v_stern,v_ystern,d_boffset,v_xamidship
6.4,-89,84.2,-0.059962463,92.56016991,0.628735711,0.157928211,69.29348121,0.589721449,0.081740639,60.93331129,0.575087853,0.00376238,-87.32796601,0.584028985
6.1,-86,83.8,-0.059962583,91.76980534,0.628353168,0.157974337,68.88493083,0.589702234,0.08165912,60.91512548,0.575487424,0.003634894,-84.40603893,0.584020987
5.8,-83,83.4,-0.059962344,90.97922228,0.627966131,0.158017377,68.47678936,0.589679916,0.081577063,60.89756707,0.575884252,0.003509477,-81.48415554,0.584009919
5.5,-80,83,-0.060813194,90.18843145,0.636486097,0.160301722,68.06905703,0.598027512,0.082651685,60.88062559,0.584461395,0.003434219,-78.56231371,0.592288447
5.2,-77,82.6,-0.059135207,89.39744351,0.618543229,0.155917451,67.66173401,0.581507606,0.080290436,60.8642905,0.568729626,0.00321993,-75.64051129,0.575937967
4.9,-74,82.2,-0.059962583,88.60626923,0.626810769,0.158136178,67.25482056,0.589624959,0.08133194,60.84855132,0.577088042,0.003145872,-72.71874615,0.58398862
4.6,-71,81.8,-0.059962104,87.81491932,0.626418403,0.15817002,66.84831682,0.589602001,0.081249398,60.83339749,0.577485247,0.003028851,-69.79701613,0.58397693
4.3,-68,81.4,-0.059962344,87.02340452,0.626032869,0.158203608,66.442223,0.589586545,0.08116779,60.81881849,0.57789002,0.00291397,-66.87531909,0.583972674
4,-65,81,-0.059962463,86.23173553,0.625645403,0.158234742,66.03653925,0.58957034,0.081085991,60.80480372,0.578294266,0.002801201,-63.95365289,0.583967677
3.7,-62,80.6,-0.059962224,85.43992311,0.625253523,0.158262779,65.63126572,0.589551033,0.081003673,60.7913426,0.578695664,0.002690528,-61.03201537,0.583959609
3.4,-59,80.2,-0.059962104,84.64797803,0.624862238,0.158288978,65.22640259,0.589533335,0.080921483,60.77842457,0.579098821,0.002581974,-58.11040439,0.583953138
3.1,-56,79.8,-0.061185032,83.85591098,0.63720766,0.161542159,64.82194995,0.601540459,0.082488159,60.76603897,0.591322709,0.002526044,-55.18881781,0.595857892
2.8,-53,79.4,-0.059286311,83.06373274,0.61704665,0.156551086,64.41790794,0.582857721,0.0798472,60.75417521,0.573373446,0.00234453,-52.26725346,0.577362579
2.5,-50,79,-0.060653358,82.27145405,0.630878288,0.160181209,64.01427668,0.596282088,0.081605305,60.74282263,0.587005251,0.002295241,-49.34570918,0.590671569
2.2,-47,78.6,-0.059962583,81.47908568,0.623300711,0.15837485,63.61105625,0.589476306,0.080593796,60.73197057,0.58072652,0.002169059,-46.42418287,0.583940883
1.9,-44,78.2,-0.059962463,80.68663839,0.622906293,0.158390305,63.20824677,0.589460781,0.080511495,60.72160839,0.58113252,0.002071138,-43.50267232,0.583936564
1.6,-41,77.8,-0.059962104,79.89412291,0.622508788,0.158402985,62.80584828,0.589443331,0.080428867,60.71172537,0.58153672,0.001975355,-40.58117542,0.583930337
1.3,-38,77.4,-0.059962104,79.10155003,0.622114428,0.158414458,62.40386087,0.589429852,0.080346703,60.70231085,0.581944925,0.001881715,-37.65969,0.583928042
1,-35,77,-0.059962104,78.30893048,0.621719493,0.158423785,62.00228457,0.589416812,0.080264532,60.69335409,0.58235364,0.001790221,-34.73821389,0.58392618
0.7,-32,76.4,-0.059962104,77.31627505,0.632698933,0.198405694,61.40111945,0.596159231,0.120157086,60.48484438,0.584248656,0.041675603,-31.81674499,0.583924741
0.4,-29,75.2,-0.059961984,75.72359452,0.67954749,0.318334283,60.20036553,0.631319974,0.239998623,59.67677101,0.605121851,0.161512276,-28.89528109,0.583922572
0.1,-26,74.2,-0.059962104,74.33089963,0.66139414,0.278363051,59.20002285,0.617205909,0.199942173,59.06912322,0.596084894,0.121452799,-25.97382007,0.583923164
-0.1,-24,72.2,-0.040055036,72.06910037,0.604676366,0.45298225,57.20002284,0.559097931,0.400550358,57.33092247,0.522815812,0.348118466,-24.02617992,0.390063978
-0.3,-23,70.2,-0.039895156,69.8073027,0.4932299,0.451173848,55.20020561,0.441436399,0.398915098,55.5929029,0.394965431,0.346692806,-23.07853946,0.189031318
-0.5,-22,68.2,-0.039974736,67.54550984,0.494139114,0.452072862,53.20057116,0.442284018,0.399674295,53.85506132,0.395809689,0.34734879,-22.13089803,0.18940858
-0.4,-21,66.2,0.019987408,65.67640548,0.423790005,0.373585513,51.20036555,0.449333028,0.399789256,51.72396007,0.472672712,0.425951901,-21.1047189,0.20510661
-0.3,-20,64.2,0.019987408,63.8073027,0.423768168,0.373585197,49.20020561,0.449324933,0.399780126,49.5929029,0.472684595,0.42594309,-20.07853946,0.20510667
-0.2,-19,62.2,0.019987368,61.93820114,0.423745557,0.373584207,47.20009138,0.44931593,0.39977019,47.46189024,0.472695456,0.425933342,-19.05235977,0.205106313
-0.1,-18,60.2,0.019987368,60.06910037,0.423723867,0.37358405,45.20002284,0.449307818,0.399761059,45.33092247,0.472707189,0.42592437,-18.02617992,0.205106341
0,-17,58.2,0.019987368,58.2,0.42370225,0.373583969,43.2,0.449299699,0.399751925,43.2,0.472718847,0.425915315,-17,0.205106358
0.1,-16,56.2,0.019987368,56.33089963,0.423680709,0.373583969,41.20002285,0.449291574,0.399742792,41.06912322,0.472730432,0.425906183,-15.97382007,0.205106358
0.2,-15,54.2,0.019987288,54.46179886,0.423657549,0.373582556,39.20009139,0.449281646,0.399732063,38.93829253,0.472740053,0.425895269,-14.94764022,0.205105523
0.1,-14,52.2,-0.020003241,52.33089963,0.470880574,0.426248898,37.20002285,0.444981059,0.40007852,37.06912322,0.421563359,0.373894433,-13.97382007,0.194795587
0,-13,50.2,-0.019971401,50.2,0.470111749,0.425570509,35.2,0.444264563,0.399432583,35.2,0.420905256,0.373290093,-13,0.194485511
-0.1,-12,48.2,-0.019987288,48.06910037,0.470466321,0.425909048,33.20002284,0.444609762,0.399741196,33.33092247,0.421253084,0.373577911,-12.02617992,0.194640224
-0.2,-11,46.2,-0.019987248,45.93820114,0.470445912,0.425908116,31.20009138,0.444600669,0.399731263,31.46189024,0.421265324,0.37356811,-11.05235977,0.194639851
-0.1,-10,44.2,0.019987328,44.06910037,0.42372302,0.373583303,29.20002284,0.44930692,0.39976026,29.33092247,0.472706244,0.425923518,-10.02617992,0.205105931
0,-9,42.2,0.019987288,42.2,0.423700556,0.373582475,27.2,0.449297903,0.399750327,27.2,0.472716957,0.425913613,-9,0.205105538
0.1,-8,40.2,0.019987248,40.33089963,0.423678168,0.373581728,25.20002285,0.44928888,0.399740395,25.06912322,0.472727597,0.425903629,-7.973820073,0.205105128
0,-7,38.2,-0.019987328,38.2,0.470486661,0.4259099,23.2,0.444618862,0.399751128,23.2,0.421240926,0.37358779,-7,0.194640612
-0.1,-6,36.2,-0.019987288,36.06910037,0.470466321,0.425909048,21.20002284,0.444609762,0.399741196,21.33092247,0.421253084,0.373577911,-6.026179926,0.194640224
0,-5,34.2,0.019987208,34.2,0.423698863,0.373580982,19.2,0.449296107,0.399748729,19.2,0.472715068,0.42591191,-5,0.205104718
0.1,-4.4,32.2,0.020040401,32.33089963,0.393394618,0.374575217,17.20002285,0.419989151,0.40080345,17.06912322,0.445099085,0.42703626,-4.373820075,0.125488971
0,-3.8,30.2,-0.020339921,30.2,0.450283323,0.433423297,15.2,0.423215096,0.406803063,15.2,0.397683685,0.380178182,-3.8,0.116714549
